,League,Season,Team,Sequence,seq_len
1109,La_Liga,2008,Sp Gijon,"[0, 0, 0, 0, 0, 3, 3, 3, 3, 0, 3, 0, 3, 0, 0, 3, 0, 3, 0, 0, 3, 0, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 1, 0, 3, 3, 3]",38
1110,La_Liga,2008,Valencia,"[3, 1, 3, 3, 3, 3, 3, 1, 0, 3, 0, 1, 3, 0, 3, 0, 3, 1, 0, 0, 3, 0, 1, 1, 0, 0, 1, 3, 3, 3, 3, 3, 1, 0, 3, 0, 0, 3]",38
1111,La_Liga,2008,Valladolid,"[0, 3, 0, 3, 0, 0, 1, 0, 3, 0, 3, 3, 3, 1, 3, 0, 0, 0, 0, 1, 3, 3, 0, 0, 3, 3, 3, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1]",38
1112,La_Liga,2008,Villarreal,"[1, 3, 3, 3, 3, 3, 1, 1, 3, 3, 1, 0, 3, 1, 0, 0, 0, 1, 3, 1, 0, 3, 1, 3, 1, 3, 0, 3, 0, 0, 1, 3, 3, 0, 1, 3, 3, 3]",38
1113,La_Liga,2009,Almeria,"[1, 0, 3, 1, 1, 0, 3, 0, 0, 3, 0, 0, 0, 1, 0, 3, 1, 1, 0, 1, 3, 1, 3, 3, 1, 3, 0, 3, 0, 1, 0, 0, 1, 0, 0, 3, 1, 0]",38
1114,La_Liga,2009,Ath Bilbao,"[3, 3, 3, 0, 0, 1, 0, 0, 3, 3, 1, 3, 0, 3, 3, 0, 1, 3, 0, 0, 3, 0, 3, 1, 3, 1, 1, 0, 3, 0, 3, 0, 1, 1, 0, 1, 0, 3]",38
1115,La_Liga,2009,Ath Madrid,"[0, 1, 0, 1, 1, 3, 0, 1, 0, 0, 0, 3, 3, 0, 1, 3, 3, 3, 0, 0, 1, 3, 0, 3, 1, 3, 0, 3, 0, 3, 0, 0, 0, 3, 0, 3, 1, 0]",38
1116,La_Liga,2009,Barcelona,"[3, 3, 3, 3, 3, 3, 1, 3, 1, 3, 1, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 0, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3]",38
1117,La_Liga,2009,Espanol,"[0, 0, 3, 3, 1, 1, 3, 1, 1, 0, 0, 0, 0, 0, 3, 0, 3, 0, 1, 3, 0, 3, 0, 1, 1, 0, 3, 1, 1, 1, 3, 0, 1, 3, 0, 0, 3, 0]",38
1118,La_Liga,2009,Getafe,"[3, 0, 0, 3, 0, 3, 0, 3, 0, 0, 3, 3, 0, 3, 3, 3, 0, 0, 3, 1, 0, 1, 0, 0, 1, 3, 1, 0, 3, 1, 3, 3, 0, 3, 1, 1, 3, 3]",38
1119,La_Liga,2009,La Coruna,"[0, 3, 0, 3, 3, 3, 3, 0, 1, 3, 3, 3, 0, 1, 1, 1, 3, 0, 3, 0, 1, 0, 3, 0, 3, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 3, 0]",38
1120,La_Liga,2009,Malaga,"[3, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 3, 1, 1, 3, 0, 3, 1, 3, 3, 0, 0, 0, 3, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1]",38
1121,La_Liga,2009,Mallorca,"[3, 1, 3, 0, 3, 0, 3, 1, 3, 0, 3, 1, 3, 3, 0, 3, 0, 3, 1, 0, 3, 0, 0, 3, 3, 0, 3, 1, 0, 1, 3, 1, 3, 1, 3, 0, 0, 3]",38
1122,La_Liga,2009,Osasuna,"[1, 0, 0, 3, 3, 0, 3, 1, 1, 0, 0, 3, 1, 0, 0, 1, 0, 3, 3, 3, 3, 0, 1, 0, 1, 0, 0, 0, 3, 0, 3, 1, 0, 1, 0, 3, 0, 1]",38
1123,La_Liga,2009,Real Madrid,"[3, 3, 3, 3, 3, 0, 3, 1, 3, 3, 3, 0, 3, 3, 3, 1, 3, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 1]",38
1124,La_Liga,2009,Santander,"[0, 1, 3, 0, 1, 0, 1, 1, 0, 0, 0, 0, 3, 3, 0, 3, 3, 1, 3, 1, 1, 0, 0, 0, 1, 1, 3, 1, 0, 0, 1, 3, 1, 0, 0, 0, 0, 3]",38
1125,La_Liga,2009,Sevilla,"[0, 3, 3, 3, 3, 3, 0, 1, 3, 3, 3, 1, 1, 3, 0, 0, 0, 0, 3, 3, 0, 3, 3, 1, 0, 1, 0, 1, 0, 3, 3, 0, 3, 0, 3, 3, 0, 3]",38
1126,La_Liga,2009,Sp Gijon,"[0, 3, 1, 1, 0, 3, 3, 1, 1, 3, 1, 3, 0, 0, 0, 1, 3, 0, 0, 0, 0, 1, 3, 3, 0, 1, 0, 3, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0]",38
1127,La_Liga,2009,Tenerife,"[0, 3, 0, 3, 0, 0, 0, 3, 0, 1, 0, 1, 3, 0, 1, 0, 0, 1, 1, 0, 0, 3, 0, 0, 0, 3, 0, 1, 1, 0, 1, 3, 3, 0, 3, 0, 1, 0]",38
1128,La_Liga,2009,Valencia,"[3, 3, 1, 0, 1, 3, 1, 3, 3, 3, 3, 1, 3, 0, 1, 3, 3, 3, 1, 0, 3, 1, 3, 0, 1, 0, 3, 3, 0, 3, 0, 3, 0, 3, 3, 3, 0, 3]",38
1129,La_Liga,2009,Valladolid,"[1, 0, 3, 0, 0, 1, 0, 3, 1, 1, 0, 1, 1, 1, 3, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 3, 1, 0, 0, 1, 3, 1, 3, 1, 0, 3, 0]",38
1130,La_Liga,2009,Villarreal,"[1, 1, 0, 0, 0, 1, 0, 3, 3, 0, 3, 0, 3, 3, 3, 1, 1, 0, 3, 0, 0, 3, 0, 3, 1, 3, 0, 1, 3, 3, 3, 0, 3, 3, 0, 0, 3, 1]",38
1131,La_Liga,2009,Xerez,"[0, 0, 0, 0, 1, 1, 3, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0, 0, 0, 1, 3, 0, 3, 1, 3, 1, 0, 3, 1, 0, 3, 0, 3, 1]",38
1132,La_Liga,2009,Zaragoza,"[3, 0, 0, 1, 3, 0, 1, 0, 3, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 3, 3, 1, 0, 3, 1, 1, 0, 0, 3, 3, 0, 1, 1, 0, 3, 3, 0, 1]",38
1133,La_Liga,2010,Almeria,"[1, 1, 0, 0, 3, 1, 0, 1, 1, 1, 0, 0, 0, 1, 3, 0, 0, 0, 1, 3, 0, 3, 0, 1, 0, 1, 3, 1, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0]",38
1134,La_Liga,2010,Ath Bilbao,"[3, 0, 1, 3, 0, 0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 3, 0, 1, 3, 3, 3, 3, 0, 0, 0, 0, 3, 1, 0, 3, 0, 3, 3, 0, 3, 0, 1, 3]",38
1135,La_Liga,2010,Ath Madrid,"[3, 3, 0, 1, 3, 0, 3, 0, 1, 0, 3, 3, 0, 0, 3, 3, 1, 0, 3, 0, 0, 0, 0, 3, 1, 1, 3, 1, 0, 3, 3, 1, 3, 3, 0, 0, 3, 3]",38
1136,La_Liga,2010,Barcelona,"[3, 0, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 1, 3, 3, 3, 1, 3, 0, 3, 1, 1, 3]",38
1137,La_Liga,2010,Espanol,"[3, 0, 3, 0, 3, 0, 3, 3, 0, 3, 1, 3, 3, 3, 0, 0, 0, 3, 3, 3, 0, 0, 0, 0, 3, 0, 0, 3, 0, 0, 1, 1, 0, 3, 0, 1, 0, 0]",38
1138,La_Liga,2010,Getafe,"[0, 3, 1, 0, 3, 3, 0, 3, 0, 0, 0, 1, 3, 3, 3, 3, 0, 1, 0, 0, 0, 3, 1, 0, 1, 1, 0, 1, 0, 0, 0, 3, 0, 0, 3, 0, 3, 1]",38
1139,La_Liga,2010,Hercules,"[0, 3, 0, 1, 3, 0, 1, 1, 0, 0, 3, 0, 3, 0, 3, 1, 0, 3, 0, 0, 0, 0, 3, 0, 1, 0, 0, 0, 0, 3, 1, 0, 3, 0, 0, 1, 0, 1]",38
1140,La_Liga,2010,La Coruna,"[1, 1, 1, 0, 0, 0, 1, 0, 3, 3, 1, 3, 0, 3, 0, 1, 3, 0, 0, 0, 1, 0, 3, 1, 1, 1, 3, 0, 0, 3, 1, 3, 0, 0, 1, 3, 1, 0]",38
1141,La_Liga,2010,Levante,"[0, 0, 0, 3, 1, 1, 3, 0, 0, 0, 0, 3, 0, 3, 1, 0, 0, 0, 0, 0, 3, 3, 3, 0, 3, 1, 3, 1, 3, 3, 1, 3, 0, 1, 0, 1, 1, 0]",38
1142,La_Liga,2010,Malaga,"[0, 3, 0, 3, 0, 1, 0, 0, 0, 0, 3, 0, 0, 3, 0, 0, 3, 1, 0, 0, 0, 1, 1, 1, 3, 0, 0, 3, 3, 0, 1, 3, 3, 3, 3, 3, 1, 0]",38
1143,La_Liga,2010,Mallorca,"[1, 0, 3, 0, 3, 1, 0, 3, 3, 0, 1, 3, 3, 0, 0, 0, 3, 3, 0, 0, 0, 1, 3, 0, 0, 3, 0, 1, 3, 0, 1, 0, 3, 0, 1, 1, 0, 0]",38
1144,La_Liga,2010,Osasuna,"[1, 0, 0, 3, 0, 1, 1, 3, 0, 3, 0, 3, 0, 0, 1, 1, 0, 1, 0, 0, 3, 1, 0, 3, 0, 1, 3, 3, 3, 0, 0, 0, 0, 3, 3, 3, 0, 3]",38
1145,La_Liga,2010,Real Madrid,"[1, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 0, 3, 3, 3, 3, 3, 1, 3, 0, 3, 3, 3, 1, 3, 3, 3, 3, 0, 3, 1, 3, 0, 3, 3, 3, 3]",38
1146,La_Liga,2010,Santander,"[0, 0, 3, 1, 0, 0, 3, 0, 3, 0, 1, 0, 3, 0, 3, 1, 1, 1, 0, 0, 1, 1, 3, 3, 1, 1, 0, 0, 3, 3, 1, 0, 0, 3, 3, 3, 0, 0]",38
1147,La_Liga,2010,Sevilla,"[3, 1, 3, 1, 0, 3, 0, 3, 0, 3, 3, 0, 0, 0, 0, 0, 3, 3, 0, 3, 1, 1, 0, 3, 1, 3, 0, 1, 3, 3, 1, 0, 3, 3, 0, 0, 3, 3]",38
1148,La_Liga,2010,Sociedad,"[3, 1, 0, 0, 0, 3, 0, 3, 3, 3, 0, 0, 3, 3, 0, 0, 0, 0, 3, 0, 3, 0, 3, 3, 0, 1, 0, 0, 0, 0, 0, 3, 0, 3, 0, 3, 0, 1]",38
1149,La_Liga,2010,Sp Gijon,"[0, 3, 1, 0, 0, 1, 3, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 3, 3, 3, 0, 1, 1, 1, 0, 3, 1, 3, 3, 3, 0, 3, 1, 1, 0, 3, 1]",38
1150,La_Liga,2010,Valencia,"[3, 3, 3, 1, 3, 3, 0, 0, 1, 0, 3, 1, 3, 0, 1, 3, 3, 3, 3, 3, 1, 3, 3, 1, 3, 0, 3, 0, 0, 3, 3, 3, 0, 0, 3, 1, 1, 3]",38
1151,La_Liga,2010,Villarreal,"[0, 3, 3, 3, 3, 3, 1, 3, 1, 3, 0, 1, 3, 3, 0, 3, 3, 0, 3, 3, 3, 0, 0, 1, 1, 3, 0, 1, 3, 0, 0, 3, 0, 3, 1, 1, 0, 0]",38
1152,La_Liga,2010,Zaragoza,"[1, 0, 0, 1, 0, 1, 0, 0, 1, 3, 0, 1, 0, 1, 0, 1, 3, 0, 3, 3, 3, 1, 0, 0, 1, 3, 0, 3, 0, 0, 3, 0, 3, 3, 0, 0, 3, 3]",38
1153,La_Liga,2011,Ath Bilbao,"[1, 0, 0, 0, 1, 3, 3, 1, 3, 1, 1, 3, 0, 1, 1, 3, 1, 3, 0, 3, 1, 0, 3, 1, 3, 0, 0, 0, 1, 0, 3, 1, 3, 3, 0, 0, 1, 0]",38
1154,La_Liga,2011,Ath Madrid,"[1, 0, 3, 3, 0, 1, 1, 1, 0, 3, 0, 3, 0, 3, 0, 0, 1, 3, 3, 3, 1, 1, 1, 0, 1, 3, 0, 3, 0, 3, 0, 0, 3, 3, 1, 1, 3, 3]",38
1155,La_Liga,2011,Barcelona,"[3, 1, 3, 1, 3, 3, 3, 1, 3, 3, 1, 3, 0, 3, 3, 3, 1, 3, 3, 1, 3, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 3, 3, 3, 1]",38
1156,La_Liga,2011,Betis,"[3, 3, 3, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 3, 3, 0, 1, 0, 0, 3, 3, 1, 0, 0, 0, 1, 1, 3, 3, 1, 3, 0, 1, 3, 0, 1]",38
1157,La_Liga,2011,Espanol,"[0, 3, 0, 3, 0, 0, 3, 3, 3, 0, 1, 1, 0, 0, 3, 3, 1, 1, 3, 3, 1, 0, 1, 0, 0, 3, 3, 1, 0, 1, 1, 0, 3, 0, 0, 0, 0, 1]",38
1158,La_Liga,2011,Getafe,"[1, 0, 0, 0, 3, 0, 1, 1, 1, 0, 3, 0, 3, 0, 3, 3, 1, 1, 3, 3, 0, 0, 1, 1, 0, 3, 3, 1, 3, 0, 3, 0, 3, 0, 0, 1, 1, 0]",38
1159,La_Liga,2011,Granada,"[0, 0, 3, 0, 1, 0, 1, 0, 0, 3, 1, 3, 3, 1, 0, 3, 0, 0, 0, 3, 3, 0, 3, 0, 0, 0, 3, 0, 0, 3, 1, 1, 0, 3, 0, 3, 0, 0]",38
1160,La_Liga,2011,Levante,"[1, 1, 3, 3, 3, 3, 3, 3, 3, 0, 0, 0, 3, 0, 3, 0, 1, 0, 1, 0, 1, 0, 0, 3, 3, 0, 3, 3, 0, 1, 3, 0, 0, 1, 3, 0, 0, 3]",38
1161,La_Liga,2011,Malaga,"[0, 3, 3, 3, 1, 3, 0, 0, 0, 3, 1, 3, 3, 0, 1, 0, 1, 0, 0, 3, 0, 3, 0, 3, 3, 3, 1, 3, 3, 0, 3, 0, 1, 1, 3, 0, 0, 3]",38
1162,La_Liga,2011,Mallorca,"[3, 0, 0, 0, 3, 1, 1, 1, 0, 0, 1, 3, 1, 1, 3, 0, 1, 0, 3, 0, 3, 0, 3, 0, 1, 1, 3, 3, 0, 0, 1, 3, 0, 3, 3, 3, 3, 0]",38
1163,La_Liga,2011,Osasuna,"[1, 3, 0, 1, 1, 1, 0, 3, 1, 3, 0, 1, 3, 3, 1, 3, 1, 0, 1, 0, 1, 3, 0, 3, 1, 3, 1, 1, 3, 0, 0, 3, 0, 1, 1, 0, 3, 3]",38
1164,La_Liga,2011,Real Madrid,"[3, 3, 0, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3]",38
1165,La_Liga,2011,Santander,"[0, 1, 0, 1, 1, 1, 0, 0, 1, 3, 1, 0, 0, 3, 1, 1, 3, 3, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",38
1166,La_Liga,2011,Sevilla,"[3, 1, 3, 1, 3, 1, 3, 1, 1, 0, 1, 0, 3, 3, 0, 0, 0, 1, 1, 0, 0, 0, 3, 3, 1, 0, 0, 3, 3, 3, 0, 3, 0, 1, 0, 0, 3, 1]",38
1167,La_Liga,2011,Sociedad,"[3, 1, 0, 3, 0, 0, 0, 1, 0, 0, 0, 1, 3, 3, 1, 1, 1, 3, 0, 3, 0, 3, 0, 3, 0, 3, 0, 0, 0, 3, 1, 1, 1, 1, 3, 1, 0, 3]",38
1168,La_Liga,2011,Sp Gijon,"[0, 0, 0, 0, 1, 0, 0, 3, 3, 1, 1, 3, 0, 0, 3, 0, 0, 3, 0, 0, 1, 0, 1, 1, 0, 3, 0, 0, 1, 0, 0, 3, 0, 3, 3, 0, 3, 0]",38
1169,La_Liga,2011,Valencia,"[3, 3, 3, 1, 0, 3, 1, 1, 3, 3, 3, 0, 3, 3, 0, 3, 1, 0, 1, 1, 1, 3, 0, 0, 3, 1, 3, 0, 0, 1, 1, 3, 0, 3, 0, 3, 3, 0]",38
1170,La_Liga,2011,Vallecano,"[1, 1, 3, 0, 0, 1, 0, 3, 3, 0, 3, 1, 0, 0, 0, 0, 3, 3, 0, 0, 3, 3, 3, 0, 3, 0, 3, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3]",38
1171,La_Liga,2011,Villarreal,"[0, 1, 0, 3, 1, 1, 1, 0, 0, 3, 1, 3, 0, 0, 1, 0, 1, 0, 3, 1, 3, 3, 0, 1, 0, 0, 0, 1, 3, 1, 0, 3, 1, 1, 1, 3, 0, 0]",38
1172,La_Liga,2011,Zaragoza,"[0, 1, 3, 0, 1, 1, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 3, 0, 0, 3, 0, 1, 3, 3, 3, 0, 0, 3, 0, 3, 3, 3, 3]",38
1173,La_Liga,2012,Ath Bilbao,"[0, 0, 3, 1, 1, 0, 3, 0, 0, 3, 3, 0, 1, 0, 3, 3, 0, 0, 0, 1, 3, 1, 0, 0, 0, 3, 3, 0, 3, 0, 0, 1, 1, 1, 3, 3, 0, 1]",38
1174,La_Liga,2012,Ath Madrid,"[1, 3, 3, 3, 3, 3, 3, 3, 3, 0, 3, 3, 3, 0, 3, 0, 3, 1, 3, 3, 0, 3, 0, 3, 3, 1, 0, 3, 1, 1, 3, 3, 0, 1, 3, 0, 1, 3]",38
1175,La_Liga,2012,Barcelona,"[3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 3, 1, 3, 3, 3, 0, 3, 3, 1, 3, 3, 3, 1, 3, 3, 3, 3, 3]",38
1176,La_Liga,2012,Betis,"[3, 0, 3, 3, 0, 0, 3, 1, 3, 3, 0, 0, 3, 3, 0, 3, 0, 3, 3, 1, 0, 0, 1, 0, 3, 1, 3, 0, 1, 3, 1, 0, 1, 0, 3, 0, 3, 1]",38
1177,La_Liga,2012,Celta,"[0, 0, 3, 0, 3, 0, 3, 0, 1, 0, 0, 1, 3, 1, 0, 0, 0, 3, 0, 1, 1, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 3, 3, 1, 0, 0, 3, 3]",38
1178,La_Liga,2012,Espanol,"[0, 0, 0, 1, 0, 0, 1, 3, 1, 3, 0, 0, 0, 1, 1, 1, 3, 0, 3, 3, 1, 3, 3, 3, 0, 1, 0, 3, 1, 3, 1, 3, 0, 0, 1, 0, 0, 0]",38
1179,La_Liga,2012,Getafe,"[0, 3, 1, 0, 0, 3, 3, 0, 3, 0, 0, 3, 3, 3, 1, 1, 0, 0, 1, 1, 0, 3, 0, 3, 3, 3, 1, 3, 1, 1, 0, 0, 0, 3, 0, 0, 0, 0]",38
1180,La_Liga,2012,Granada,"[0, 1, 0, 1, 0, 3, 3, 0, 0, 0, 3, 0, 0, 1, 0, 1, 3, 0, 1, 3, 0, 3, 3, 0, 0, 0, 1, 1, 0, 0, 0, 1, 3, 3, 1, 3, 0, 3]",38
1181,La_Liga,2012,La Coruna,"[3, 1, 1, 1, 0, 0, 0, 0, 1, 3, 0, 0, 1, 0, 0, 1, 0, 3, 1, 0, 0, 0, 0, 0, 0, 1, 0, 3, 3, 3, 3, 1, 1, 1, 0, 3, 0, 0]",38
1182,La_Liga,2012,Levante,"[1, 0, 3, 0, 3, 0, 3, 3, 3, 1, 0, 3, 0, 1, 3, 3, 0, 3, 0, 0, 3, 0, 0, 1, 0, 1, 1, 1, 3, 0, 0, 0, 0, 1, 1, 0, 3, 1]",38
1183,La_Liga,2012,Malaga,"[3, 1, 3, 3, 1, 3, 0, 3, 1, 0, 0, 1, 3, 0, 3, 3, 3, 0, 0, 1, 3, 1, 3, 3, 0, 1, 1, 0, 3, 0, 3, 0, 3, 0, 0, 1, 3, 0]",38
1184,La_Liga,2012,Mallorca,"[3, 1, 3, 1, 3, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 3, 1, 0, 0, 0, 0, 1, 0, 0, 3, 3, 0, 0, 0, 3, 1, 0, 1, 0, 3, 1, 3]",38
1185,La_Liga,2012,Osasuna,"[0, 0, 0, 1, 0, 3, 0, 1, 0, 0, 3, 1, 1, 3, 0, 1, 0, 0, 1, 3, 0, 3, 1, 3, 3, 0, 0, 0, 3, 0, 0, 1, 1, 0, 3, 0, 3, 0]",38
1186,La_Liga,2012,Real Madrid,"[1, 0, 3, 0, 3, 3, 1, 3, 3, 3, 3, 3, 0, 3, 3, 1, 0, 3, 1, 3, 3, 0, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 1, 1, 3]",38
1187,La_Liga,2012,Sevilla,"[3, 1, 1, 3, 3, 0, 0, 3, 0, 1, 0, 3, 0, 0, 1, 0, 0, 3, 0, 1, 3, 3, 0, 3, 0, 3, 0, 3, 0, 3, 1, 0, 1, 3, 1, 0, 0, 3]",38
1188,La_Liga,2012,Sociedad,"[0, 3, 0, 3, 0, 3, 0, 0, 1, 0, 3, 3, 1, 3, 1, 1, 3, 0, 1, 3, 1, 3, 3, 1, 3, 1, 3, 3, 1, 3, 3, 1, 3, 0, 1, 3, 1, 3]",38
1189,La_Liga,2012,Valencia,"[1, 1, 0, 3, 0, 3, 0, 3, 0, 3, 1, 3, 0, 0, 3, 0, 3, 3, 3, 0, 3, 1, 3, 3, 1, 1, 0, 3, 1, 3, 1, 3, 0, 3, 3, 3, 3, 0]",38
1190,La_Liga,2012,Valladolid,"[3, 3, 0, 0, 0, 3, 1, 0, 1, 3, 1, 0, 3, 3, 0, 1, 0, 0, 3, 3, 0, 1, 1, 0, 3, 1, 1, 0, 0, 0, 3, 1, 1, 0, 3, 0, 0, 0]",38
1191,La_Liga,2012,Vallecano,"[3, 3, 1, 0, 0, 0, 3, 0, 0, 3, 3, 0, 3, 0, 0, 3, 3, 3, 3, 0, 3, 0, 3, 0, 0, 1, 3, 0, 0, 3, 0, 1, 1, 0, 0, 3, 3, 1]",38
1192,La_Liga,2012,Zaragoza,"[0, 3, 0, 0, 3, 0, 0, 3, 3, 0, 3, 0, 0, 1, 3, 0, 3, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 3, 3, 1, 0, 0, 0]",38
1193,La_Liga,2013,Almeria,"[0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 3, 3, 3, 0, 0, 1, 3, 3, 0, 0, 3, 0, 3, 0, 1, 0, 0, 0, 3, 1, 0, 0, 0, 0, 3, 3, 3, 1]",38
1194,La_Liga,2013,Ath Bilbao,"[3, 3, 0, 3, 0, 3, 0, 1, 3, 3, 1, 0, 3, 3, 3, 1, 3, 0, 3, 3, 3, 1, 1, 0, 3, 3, 1, 1, 3, 1, 0, 3, 3, 0, 3, 3, 1, 1]",38
1195,La_Liga,2013,Ath Madrid,"[3, 3, 3, 3, 3, 3, 3, 3, 0, 3, 3, 3, 1, 3, 3, 3, 3, 3, 1, 1, 3, 3, 0, 3, 0, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 1, 1]",38
1196,La_Liga,2013,Barcelona,"[3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 0, 3, 3, 3, 1, 1, 3, 0, 3, 3, 0, 3, 0, 3, 3, 3, 3, 3, 0, 3, 3, 1, 1, 1]",38
1197,La_Liga,2013,Betis,"[0, 0, 1, 3, 1, 0, 3, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 1, 3, 1, 0, 3, 0, 0, 0, 0, 0, 0, 3, 0]",38
1198,La_Liga,2013,Celta,"[1, 3, 1, 0, 1, 0, 0, 0, 0, 3, 0, 3, 0, 0, 3, 0, 1, 0, 3, 0, 3, 3, 1, 3, 1, 0, 0, 3, 0, 0, 3, 0, 1, 3, 3, 3, 3, 0]",38
1199,La_Liga,2013,Elche,"[0, 1, 1, 1, 0, 0, 3, 3, 3, 0, 1, 0, 1, 3, 0, 0, 0, 0, 1, 3, 0, 3, 1, 1, 0, 3, 0, 1, 0, 1, 1, 3, 0, 0, 1, 3, 1, 0]",38
1200,La_Liga,2013,Espanol,"[1, 3, 1, 3, 3, 0, 0, 0, 3, 0, 1, 0, 0, 3, 0, 1, 3, 0, 0, 3, 1, 0, 3, 3, 0, 1, 3, 0, 1, 3, 0, 0, 1, 0, 0, 0, 1, 0]",38
1201,La_Liga,2013,Getafe,"[0, 1, 0, 3, 0, 3, 3, 3, 3, 0, 3, 0, 1, 0, 3, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 3, 0, 0, 1, 3, 1, 3, 3]",38
1202,La_Liga,2013,Granada,"[3, 0, 1, 0, 1, 0, 3, 0, 0, 3, 0, 3, 3, 0, 0, 3, 0, 0, 3, 1, 0, 0, 0, 3, 0, 0, 3, 1, 3, 0, 0, 0, 3, 0, 0, 1, 0, 3]",38
1203,La_Liga,2013,Levante,"[0, 1, 3, 1, 1, 1, 3, 0, 3, 3, 1, 0, 0, 0, 0, 3, 0, 0, 3, 1, 3, 1, 1, 3, 1, 3, 0, 0, 1, 0, 3, 0, 0, 1, 1, 3, 3, 0]",38
1204,La_Liga,2013,Malaga,"[0, 0, 1, 3, 1, 3, 1, 0, 0, 0, 1, 3, 0, 0, 1, 3, 3, 0, 0, 1, 0, 3, 0, 0, 1, 1, 3, 0, 3, 0, 3, 3, 0, 3, 0, 0, 1, 3]",38
1205,La_Liga,2013,Osasuna,"[0, 0, 0, 0, 3, 0, 0, 3, 1, 0, 3, 0, 0, 3, 0, 1, 1, 3, 3, 1, 0, 0, 3, 1, 3, 0, 0, 0, 0, 0, 1, 3, 1, 1, 0, 0, 1, 3]",38
1206,La_Liga,2013,Real Madrid,"[3, 3, 3, 1, 3, 3, 0, 3, 3, 0, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 1, 3, 3, 3, 1, 3, 3, 0, 0, 3, 3, 3, 3, 1, 1, 0, 3]",38
1207,La_Liga,2013,Sevilla,"[0, 1, 1, 0, 0, 3, 1, 3, 1, 3, 0, 0, 3, 3, 3, 1, 3, 3, 1, 1, 0, 0, 0, 1, 3, 3, 3, 3, 3, 3, 0, 3, 3, 3, 0, 1, 0, 3]",38
1208,La_Liga,2013,Sociedad,"[3, 1, 0, 1, 1, 0, 1, 0, 3, 3, 1, 3, 0, 3, 3, 3, 3, 3, 0, 1, 3, 0, 1, 3, 3, 0, 0, 3, 0, 3, 1, 0, 1, 3, 3, 1, 1, 0]",38
1209,La_Liga,2013,Valencia,"[3, 0, 0, 0, 3, 3, 3, 1, 0, 0, 0, 3, 1, 0, 3, 0, 0, 3, 0, 1, 1, 3, 3, 1, 3, 0, 1, 0, 3, 1, 0, 1, 3, 1, 0, 1, 0, 3]",38
1210,La_Liga,2013,Valladolid,"[0, 0, 3, 1, 0, 1, 1, 0, 1, 3, 1, 0, 1, 0, 0, 3, 0, 1, 0, 0, 3, 1, 1, 0, 1, 1, 3, 0, 1, 0, 3, 1, 1, 0, 3, 1, 0, 0]",38
